Program,Round,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Staged 2016-17,Regional Development Australia Far North Queensland And Torres Strait Incorporated,Cairns,4870.0,," Tablelands Regional Council 
 The Space Australasia Pty Ltd 
 EnVizion Group Inc 
 Northern Gulf Resource Management Group Ltd 
 James Cook University",Develop A Collaborative Action & Advise On The Submission Of A Subsequent Full Application For The Far North Queensland Region (Linked To Aqaripfull00816-17),Cairns City,4870.0,,20/03/2017,Cairns (R),Far North Queensland,Cairns,20000.0
Agtech And Logistics Hub,,Agrifood Connect Limited,Toowoomba City,4350.0,University Of Southern Queensland University Of Queensland,"Toowoomba and Surat Basin Enterprise
FKG Group",Agtech And Logistics Hub,Toowoomba City,4350.0,,25/09/2020,Toowoomba (R),Darling Downs,Toowoomba North,3000000.0
Artificial Intelligence Hub,,Ai Consortium Pty Ltd,Fortitude Valley,4006.0,"The University Of Queensland, Queensland University Of Technology",KPMG,Artificial Intelligence Hub,Fortitude Valley,4006.0,,6/03/2020,Brisbane (C),Brisbane,Mcconnel,5000000.0
Austcyber - Establishment Of A Queensland Node,,Australian Cyber Security Growth Network Ltd,Griffith,2603.0,,nan,Establishment Of Queensland Cyber Security Hub,Statewide,,Townsville (Part Time Only),26/05/2020,Nonqueensland,Statewide,Nonqueensland,160000.0
Bdo Business Of Entrepreneurship,,Acceler8 Pty Ltd,Brisbane City,4000.0,,nan,Acceler8 For Delivery Of The Bdo Business Of Entrepreneurship Program: Supporting Startups And Scaleups In A Covid-19 World,Brisbane City,4000.0,,4/06/2020,Brisbane (C),Brisbane And Redlands,Mcconnel,356396.0
Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Southern Oil Refining Pty Ltd,Bomen,2650.0,, Carbon Free Renewables Pty Ltd,Bio-Hydrogen Generation For Bio-Fuel Production,Yarwun,4694.0,,2/06/2017,Nonqueensland,Central Queensland,Nonqueensland,1000000.0
Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,The University Of Queensland,St Lucia,4067.0,, Amyris Inc.,Queensland Strain Factory,St Lucia,4067.0,"Emeryville (California, Usa)",12/06/2017,Brisbane (C),Brisbane And Redlands,Maiwar,496000.0
Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Woods Grain Pty Ltd,Goondiwindi,4390.0,, The University of Queensland - St Lucia Campus - Master,New Algae Farm In Goondiwindi,Goondiwindi,4390.0,,2/06/2017,Goondiwindi (R),Darling Downs,Southern Downs,579000.0
Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Mp Australia Holdings Pty Ltd,Gordonvale,4865.0,," Queensland University of Technology - Gardens Point Campus - Master 
 Ausagave 
 Howe Farming",Agave And Sugarcane: Integrated Bioindustries,Arriga,4880.0,Brisbane  /  Mackay  /  Maryborough,2/06/2017,Cairns (R),Far North Queensland,Mulgrave,180000.0
Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Aquatec Maxcon Pty Ltd,Wulkuraka,4305.0,, Trisco Foods Pty Ltd,Anaerobic Membrane Bioreactor For Biogas,Carole Park,4300.0,Ipswich,2/06/2017,Ipswich (C),Ipswich,Ipswich West,400000.0
Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Dugalunji Aboriginal Corporation,Camooweal,4828.0,, The University of Queensland,Qld Spinifex Nano-Cellulose Industry,Indooroopilly,4068.0,Camooweal,2/06/2017,Mount Isa (C),Brisbane And Redlands,Traeger,995129.0
Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Inkerman Canegrowers Organisation Limited,Home Hill,4086.0,," Mr Gregory O'Hanlon 
 S&L Peters Pty Ltd 
 Nothern Oils Refinery Pty Ltd 
 Northern Australia Cropping Consultants Pty Ltd 
 Recycling Technologies Group",Burdekin Biofutures Project,Home Hill,4806.0,Gladstone  /  Brisbane  /  Maryborough  /  Melbourne  /  Eden (Nsw),2/06/2017,Burdekin (S),Townsville,Burdekin,125000.0
Bionics,,Bionics Queensland Limited,Ashgrove,4060.0,,nan,Bionics Queensland Innovation And Research Challenge,Ashgrove,4060.0,,22/05/2020,Brisbane (C),Brisbane And Redlands,Cooper,100000.0
Bionics,,Bionics Queensland Limited,Ashgrove,4060.0,, Motor Accident Insurance Commission,Bionics Ecosystem Mapping Study,Ashgrove,4060.0,,3/06/2020,Brisbane (C),Brisbane And Redlands,Cooper,60000.0
Clem Jones Centre For Ageing Dementia Research,Clem Jones Centre for Ageing Dementia Research,The University Of Queensland,St Lucia,4067.0,,nan,Commercial Development Of The Ultrasound Application For Alzheimer'S Disease Treatment Developed At Queensland Brain Institute'S Clem Jones Centre For Ageing Dementia Research,St Lucia,4067.0,,1/06/2018,Brisbane (C),Brisbane And Redlands,Maiwar,5000000.0
Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Smart Sensor Technologies Pty Ltd,Corinda,4075.0,,nan,Wineminder,Corinda,4075.0,"Guangzhou, China",23/03/2017,Brisbane (C),Brisbane And Redlands,Mount Ommaney,17482.0
Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Ausasia Health Innovation Pty Ltd,Fairfield,4103.0,,nan,The TraegerS Box - Portable Emr Device For Medical Emergency,Fairfield,4103.0,"Beijing, China",23/03/2017,Brisbane (C),Brisbane And Redlands,Miller,17070.0
Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Ocean Organics Australia Pty Ltd,Alexandra Hills,4161.0,,nan,"Seagrass Extract Uses For The Pharmaceutical, Healthcare Or Skincare Industries.",Alexandra Hills,4161.0,"Shanghai, China",23/03/2017,Redland (C),Brisbane And Redlands,Capalaba,15895.0
Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Elanra Medical Pty Ltd,Varsity Lakes,4227.0,,nan,Distribute Elanra Medical Throughout China,Varsity Lakes,4227.0,"Suzhou, China",23/03/2017,Gold Coast (C),Gold Coast,Burleigh,19899.0
Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Go Evolve Pty Ltd As Trustee For Evolve Group Unit Trust,Surfers Paradise,4217.0,,nan,Universal Modular Building System,Surfers Paradise,4217.0,"Shenzhen, China",23/03/2017,Gold Coast (C),Gold Coast,Surfers Paradise,13209.0
Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Applied Matter Systems Pty Ltd,Kangaroo Point,4169.0,,nan,"Bringing Dimension To E-Commerce, Off Screen And Into Consumers' Hands",Kangaroo Point,4169.0,Guangzhou,23/03/2017,Brisbane (C),Brisbane And Redlands,South Brisbane,17727.0
Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Griffith University,Nathan,4111.0,,nan,Low Cost Sic Schottky Diodes,Nathan,4111.0,"Shanghai, China",23/03/2017,Brisbane (C),Brisbane And Redlands,Toohey,9853.0
Create Queensland,Round 2,Deanne & Masao,Currumbin,4223.0,,nan,Guinness World Records Of Hula Hooping,nan,,Online,29/06/2017,Gold Coast (C),Statewide,Currumbin,30000.0
Create Queensland,Round 2,Andy Thomsen,Strathdickie,4800.0,,nan,Andy'S Fishing,nan,,Online,29/06/2017,Whitsunday (R),Statewide,Whitsunday,30000.0
Create Queensland,Round 2,Olivia Weeks,Wellington Point,4160.0,,nan,Behind The Scenes: Recording An Ep,nan,,Online,29/06/2017,Redland (C),Statewide,Oodgeroo,10000.0
Create Queensland,Round 3,Mark Valencia,Bellmere,4510.0,Qut/Gu,Screen Queensland/YouTube,Self Sufficient Me,nan,,Online,10/08/2018,Moreton Bay (R),Statewide,Glass House,27500.0
Create Queensland,Round 1,Tom Horn,Annerley,4103.0,,nan,Tom Thum: Live From The Larynx,nan,,Online,9/08/2016,Brisbane (C),Statewide,Miller,30000.0
Create Queensland,Round 1,Alysse Skilton,Hervey Bay,4655.0,,nan,Madison Herring: Sexybubblegumbritneyspearsstar49,nan,,Online,9/08/2016,Fraser Coast (R),Statewide,Hervey Bay,10000.0
Create Queensland,Round 1,Stephanie Hames,Buderim,4556.0,,nan,Short Horror Films,nan,,Online,9/08/2016,Sunshine Coast (R),Statewide,Buderim,10000.0
Create Queensland,Round 2,Andrew Price,Shailer Park,4128.0,,nan,Explaining The 3D Industry,nan,,Online,29/06/2017,Logan (C),Statewide,Springwood,30000.0
Create Queensland,Round 1,Sara Holmes,Chapel Hill,4069.0,,nan,Australia Vs Korea,nan,,Online,9/08/2016,Brisbane (C),Statewide,Moggill,30000.0
Create Queensland,Round 1,Elly Awesome,Holland Park West,4121.0,,nan,Show Me Your Food,nan,,Online,9/08/2016,Brisbane (C),Statewide,Greenslopes,30000.0
Create Queensland,Round 3,Zach Mander,Mitchelton,4053.0,Qut/Gu,Screen Queensland/YouTube,Collective Noun,nan,,Online,10/08/2018,Brisbane (C),Statewide,Everton,27500.0
Data61,,Commonwealth Scientific And Industrial Research Organisation T/A Data61,Fortitude Valley,4006.0,,Data61,"Establishing A Functional Programming Open Lab, Big Data Platform Challenge, Q-Foresight, Queensland Research Fellow (Q-Foresight)",Fortitude Valley,4006.0,,5/12/2016,Brisbane (C),Brisbane,Mackay,5695000.0
Deadly Data,Round 1,Cherbourg Aboriginal Shire Council,Cherbourg,4605.0,,nan,Cherbourg Digital Connectivity Pilot  Access To Starlink Satellite Internet Service For 12 Months,Cherbourg,4605.0,"Peregian Digital Hub, Noosa Council - Will Also Host Some Of The Activities",2/02/2022,Cherbourg (S),Wide Bay,Nanango,35391.0
Deadly Data,Round 1,Cherbourg Aboriginal Shire Council,Cherbourg,4605.0,, National Indigenous Australians Agency,Cherbourg Material Recovery Facility,Cherbourg,4605.0,,25/11/2022,Cherbourg (S),Wide Bay,Nanango,10000.0
Deadly Data,Round 1,Cherbourg Aboriginal Shire Council,Cherbourg,4605.0,, Indigenous Land and Sea Corporation,Cherbourg Ai Project - From Waste To Data To Opportunity,Cherbourg,4605.0,,9/09/2020,Cherbourg (S),Wide Bay,Nanango,150000.0
Deadly Innovation,Round 1,Bcf Concreting Solutions Pty Ltd,Rockhampton City,4700.0,,nan,Top Con Gps Millimietre Guidance System For Wirtgen Former.,Rockhampton City,4700.0,312 Alexandra Street Kawana 4701,13/07/2020,Rockhampton (R),Central Queensland,Rockhampton,100000.0
Deadly Innovation,Round 1,Sobah Beverages Pty Ltd,Burleigh Heads,4220.0,,nan,Dry Shelf Stabilisation Of Products,Burleigh Heads,4220.0,,21/08/2019,Gold Coast (C),Gold Coast,Burleigh,100000.0
Deadly Innovation,Round 1,Islex Australia Pty Ltd,Kingston,4114.0,,nan,Smart Syphon Commercialisation,Kingston,4114.0,Cotton Farm Locations Across Regional Queensland And Nsw.,30/09/2020,Logan (C),Logan,Waterford,100000.0
Deadly Innovation,Round 1,Minjerribah Art Studio & Cottage Pty Ltd,Dunwich,4183.0,,nan,Support To Scale - Expo 2020 Dubai,Dunwich,4183.0,Dubai - Attendance At Expo,31/05/2021,Redland (C),Brisbane And Redlands,Oodgeroo,25000.0
Deadly Innovation,Round 1,Hopevale Congress Aboriginal Corporation Rntbc,Cooktown,4895.0,,nan,Business Case - Hopevale Black Lip Oysters,Cooktown,4895.0,,23/09/2020,Cook (S),Far North Queensland,Cook,35638.0
Deadly Innovation,Round 1,Davis Trading Pty Ltd,Kawana,4701.0,,nan,Effective Feral Pig Control Traps,Kawana,4701.0,,13/08/2021,Rockhampton (R),Central Queensland,Rockhampton,100000.0
Deadly Innovation,Round 1,Nourishing Bites Pty Ltd,West End,4810.0,,nan,Commercialise Heavenly Hazel Chochazelnut Spread,West End,4810.0,,13/07/2020,Townsville (C),Townsville,Townsville,100000.0
Deadly Innovation,Round 1,Pwron Pty Ltd,New Farm,4005.0,,nan,Pwron Temperature Alert Log System,New Farm,4005.0,"Mount Low, Qld",22/12/2020,Brisbane (C),Brisbane And Redlands,Mcconnel,100000.0
Deadly Innovation,Round 1,Ethix Group Pty Ltd,Wandal,4700.0,,nan,Wujal Wujal Vanilla Bean Commercialisation Business Case,Wandal,4700.0,Wujal Wujal Queensland,19/10/2022,Rockhampton (R),Central Queensland,Rockhampton,45800.0
Deadly Innovation,Round 1,Logit Australia Pty Ltd,New Farm,4005.0,," CSIRO - EcoSciences Precinct - Master 
 MEGT Australia Ltd",Weavr - Reconciliation Action Plan Monitoring And Reporting System,New Farm,4005.0,,12/08/2021,Brisbane (C),Brisbane And Redlands,Mcconnel,50000.0
Deadly Innovation,Round 1,Rrj Engineering Pty Ltd T/A B&C Plastics,Meadowbrook,4131.0,, Container Exchange (QLD) Limited,Business Case And Pilot Project - Dive Fins From Recycled Plastic Sourced From The Torres Strait,Meadowbrook,4131.0,"Cairns, Torres Strait, Thursday Island",21/10/2021,Logan (C),Logan,Waterford,35000.0
Deadly Innovation,Round 1,Iscariot Media Pty Ltd,Everton Park,4053.0,,nan,Western Yalanji Ar Project  Stage 2 Of Western Yalanji Rock Art Project,Everton Park,4053.0,,25/05/2022,Brisbane (C),Brisbane And Redlands,Everton,25000.0
Deadly Innovation,Round 1,Solar Relief Pty Ltd,Kirwan,4817.0,,nan,Commercialisation Of Portable Power Supply.,Kirwan,4817.0,Brisbane,8/09/2020,Townsville (C),Townsville,Thuringowa,75000.0
Deadly Innovation,Round 1,Ethix Group Pty Ltd,Wandal,4700.0,,nan,Hopevale Tropical Blacklip Rock Oyster Farm - Stage 1,Hope Vale,4895.0,,10/05/2022,Rockhampton (R),Far North Queensland,Rockhampton,15750.0
Deadly Innovation,Round 1,Department Of Agriculture And Fisheries,Wilsonton Heights,4350.0,,nan,Indigenous Native Food Project - Phase 2,Wilsonton Heights,4350.0,Across Queensland,25/05/2022,Toowoomba (R),Darling Downs,Toowoomba North,200000.0
Deadly Innovation,Round 1,Woorabinda Aboriginal Shire Council,Woorabinda,4713.0,,nan,Business Case: Commercial Wattle Seed Production,Woorabinda,4713.0,,23/09/2020,Woorabinda (S),Central Queensland,Gregory,40500.0
Dubai South,,Trade And Investment Queensland,Brisbane City,4000.0,,nan,Dubai South Project 2107/18 - 2021,Dubai,,Dubai,22/01/2017,Brisbane (C),Nonqueensland,Mcconnel,355000.0
Female Founders Program,,Advisory Board Centre Pty Ltd,Brisbane City,4000.0,,nan,Provision Of Innovation Services Contract No. Ditid 26-19,Brisbane City,4000.0,,4/03/2023,Brisbane (C),Brisbane,Mcconnel,76500.0
Female Founders Program,,Impact Innovation Group Pty Ltd,Brisbane City,4000.0,,nan,Provision Of Innovation Services Contract No. Ditid 25-19,Brisbane City,4000.0,,5/03/2019,Brisbane (C),Brisbane,Mcconnel,1452855.0
Female Founders Program,Round 1,Sbe Australia Limited,"Bondi Junction, NSW",,,nan,Sbe Evolve,Fortitude Valley,4006.0,,22/09/2021,Nonqueensland,Brisbane,Nonqueensland,30000.0
